Bank-leitzahl;Bezeichnung;PLZ;Ort;BIC
13070000;Deutsche Bank;23951;Wismar;DEUTDEBB148
13070000;Deutsche Bank;19313;Wittenberge;DEUTDEBB149
13070000;Deutsche Bank;17438;Wolgast;DEUTDEBB159
13070000;Deutsche Bank;19205;Gadebusch;DEUTDEBB132
13070000;Deutsche Bank;19370;Parchim;DEUTDEBB145
13070000;Deutsche Bank;19348;Perleberg;DEUTDEBB146
13070000;Deutsche Bank;19395;Plau am See;DEUTDEBB147
13070000;Deutsche Bank;18546;Sassnitz;DEUTDEBR137
13070000;Deutsche Bank;17192;Waren (Müritz);DEUTDEBB158
13070000;Deutsche Bank;17373;Ueckermünde;DEUTDEBB157
13070000;Deutsche Bank;18356;Barth;DEUTDEBR132
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18002;Rostock;DEUTDEDBROS
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17381;Anklam;DEUTDEDB151
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18201;Bad Doberan;DEUTDEDB131
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18521;Bergen auf Rügen;DEUTDEDB133
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18241;Bützow;DEUTDEDB130
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17101;Demmin, Hansestadt;DEUTDEDB128
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19205;Gadebusch;DEUTDEDB132
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17462;Greifswald, Hansestadt;DEUTDEDB134
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18502;Grimmen;DEUTDEDB135
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18262;Güstrow;DEUTDEDB141
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19221;Hagenow;DEUTDEDB142
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19281;Ludwigslust;DEUTDEDB143
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19381;Lübz;DEUTDEDB144
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17132;Malchin;DEUTDEDB152
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17033;Neubrandenburg;DEUTDEDB150
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17225;Neustrelitz;DEUTDEDB153
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19370;Parchim;DEUTDEDB145
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19348;Perleberg;DEUTDEDB146
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19395;Plau am See;DEUTDEDB147
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17281;Prenzlau;DEUTDEDB154
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18311;Ribnitz-Damgarten;DEUTDEDB136
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18546;Sassnitz;DEUTDEDB137
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19002;Schwerin;DEUTDEDB140
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);18401;Stralsund;DEUTDEDB138
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17261;Templin;DEUTDEDB155
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17161;Teterow;DEUTDEDB156
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17351;Torgelow;DEUTDEDB179
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17373;Ueckermünde;DEUTDEDB157
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17192;Waren (Müritz);DEUTDEDB158
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);23951;Wismar;DEUTDEDB148
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);19313;Wittenberge;DEUTDEDB149
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);17438;Wolgast;DEUTDEDB159
13080000;Commerzbank vormals Dresdner Bank;18010;Rostock;DRESDEFF130
13090000;Rostocker Volks- und Raiffeisenbank;18003;Rostock;GENODEF1HR1
13091054;Pommersche Volksbank;18439;Stralsund;GENODEF1HST
13091084;Volksbank Wismar -alt-;23952;Wismar;GENODEF1HWV
14040000;Commerzbank;19055;Schwerin;COBADEFFXXX
14051000;Sparkasse Mecklenburg-Nordwest;23951;Wismar;NOLADE21WIS
14051362;Sparkasse Parchim-Lübz;19370;Parchim;NOLADE21PCH
14051462;Sparkasse Schwerin -alt-;19053;Schwerin;NOLADE21SNS
14052000;Sparkasse Mecklenburg-Schwerin;19053;Schwerin;NOLADE21LWL
14061308;Volks- und Raiffeisenbank;18273;Güstrow;GENODEF1GUE
14061438;Raiffeisen-Volksbank -alt-;19205;Gadebusch;GENODEF1GDB
14080000;Commerzbank vormals Dresdner Bank;19006;Schwerin;DRESDEFF140
14080011;Commerzbank vormals Dresdner Bank Zw W;19006;Schwerin;DRESDEFFI27
14091464;VR-Bank;19053;Schwerin;GENODEF1SN1
15000000;Bundesbank;17020;Neubrandenburg;MARKDEF1150
15040068;Commerzbank;17019;Neubrandenburg;COBADEFFXXX
15050100;Müritz-Sparkasse;17181;Waren (Müritz);NOLADE21WRN
15050200;Sparkasse Neubrandenburg-Demmin;17041;Neubrandenburg;NOLADE21NBS
15050400;Sparkasse Uecker-Randow;17302;Pasewalk;NOLADE21PSW
15050500;Sparkasse Vorpommern;17462;Greifswald, Hansestadt;NOLADE21GRW
15051732;Sparkasse Mecklenburg-Strelitz;17235;Neustrelitz;NOLADE21MST
15061618;Raiffeisenbank Mecklenburger Seenplatte;17192;Waren (Müritz);GENODEF1WRN
15061638;Volksbank Vorpommern;17489;Greifswald, Hansestadt;GENODEF1ANK
15061698;Raiffeisenbank Malchin -alt-;17131;Malchin;GENODEF1MAL
15080000;Commerzbank vormals Dresdner Bank;17033;Neubrandenburg;DRESDEFF150
15091674;Volksbank Demmin;17109;Demmin, Hansestadt;GENODEF1DM1
15091704;VR-Bank Uckermark-Randow;17291;Prenzlau;GENODEF1PZ1
16010300;Investitionsbank des Landes Brandenburg;14473;Potsdam;ILBXDE8XXXX
16020086;UniCredit Bank - HypoVereinsbank;14467;Potsdam;HYVEDEMM470
16040000;Commerzbank;14402;Potsdam;COBADEFFXXX
16050000;Mittelbrandenburgische Sparkasse in Potsdam;14459;Potsdam;WELADED1PMB
16050101;Sparkasse Prignitz;16921;Pritzwalk;WELADED1PRP
16050202;Sparkasse Ostprignitz-Ruppin;16816;Neuruppin;WELADED1OPR
16050500;LBS Ostdeutsche Landesbausparkasse;14463;Potsdam;LBSODEB1XXX
16060122;Volks- und Raiffeisenbank Prignitz;19341;Perleberg;GENODEF1PER
16061938;Raiffeisenbank Ostprignitz-Ruppin;16803;Neuruppin;GENODEF1NPP
16062008;VR-Bank Fläming;14943;Luckenwalde;GENODEF1LUK
16062073;Brandenburger Bank;14770;Brandenburg an der Havel;GENODEF1BRB
16080000;Commerzbank vormals Dresdner Bank;14467;Potsdam;DRESDEFF160
16091994;Volksbank Rathenow;14704;Rathenow;GENODEF1RN1
17020086;UniCredit Bank - HypoVereinsbank;15230;Frankfurt (Oder);HYVEDEMM471
17040000;Commerzbank;15230;Frankfurt (Oder);COBADEFFXXX
17052000;Sparkasse Barnim;16204;Eberswalde;WELADED1GZE
17052302;Stadtsparkasse Schwedt;16303;Schwedt/Oder;WELADED1UMX
17054040;Sparkasse Märkisch-Oderland;15344;Strausberg;WELADED1MOL
17055050;Sparkasse Oder-Spree;15203;Frankfurt (Oder);WELADED1LOS
17056060;Sparkasse Uckermark;17291;Prenzlau;WELADED1UMP
17062428;Raiffeisenbank-Volksbank Oder-Spree;15848;Beeskow;GENODEF1BKW
17080000;Commerzbank vormals Dresdner Bank;15205;Frankfurt (Oder);DRESDEFF170
17092404;VR Bank Fürstenwalde Seelow Wriezen;15501;Fürstenwalde/Spree;GENODEF1FW1
18020086;UniCredit Bank - HypoVereinsbank;03046;Cottbus;HYVEDEMM472
18040000;Commerzbank;03003;Cottbus;COBADEFFXXX
18050000;Sparkasse Spree-Neiße;03006;Cottbus;WELADED1CBN
18051000;Sparkasse Elbe-Elster;03231;Finsterwalde;WELADED1EES
18055000;Sparkasse Niederlausitz;01957;Senftenberg;WELADED1OSL
18062678;VR Bank Lausitz;03044;Cottbus;GENODEF1FWA
18062758;VR Bank Forst -alt-;03149;Forst (Lausitz);GENODEF1FOR
18080000;Commerzbank vormals Dresdner Bank;03003;Cottbus;DRESDEFF180
18092684;Spreewaldbank;15907;Lübben (Spreewald);GENODEF1LN1
18092744;Volksbank Spree-Neiße;03130;Spremberg;GENODEF1SPM
20000000;Bundesbank;22772;Hamburg;MARKDEF1200
20010020;Postbank Ndl der DB Privat- und Firmenkundenbank;22280;Hamburg;PBNKDEFFXXX
20010111;DSK Hyp;20354;Hamburg;ESSEDE5F200
20010424;Aareal Bank;20009;Hamburg;AARBDE5W200
20020200;Skandinaviska Enskilda Banken (publ) Hamburg Branch;60313;Frankfurt am Main;ESSEDEFFHAM
20020500;Jyske Bank Fil Hamburg;20023;Hamburg;JYBADEHHXXX
20020900;Signal Iduna Bauspar;20351;Hamburg;SIBSDEHHXXX
20030000;UniCredit Bank - HypoVereinsbank;20454;Hamburg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21465;Reinbek;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;22902;Ahrensburg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;22850;Norderstedt;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;23843;Bad Oldesloe;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21502;Geesthacht;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;25421;Pinneberg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;39104;Magdeburg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;18055;Rostock;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;19053;Schwerin;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;18439;Stralsund;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;38820;Halberstadt;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;49074;Osnabrück;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;17033;Neubrandenburg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;39218;Schönebeck (Elbe);HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21220;Seevetal;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21244;Buchholz in der Nordheide;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;24119;Kronshagen;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;24217;Schönberg (Holstein);HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;23795;Bad Segeberg;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;25821;Bredstedt;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;25840;Friedrichstadt;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21614;Buxtehude;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21682;Stade;HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;21423;Winsen (Luhe);HYVEDEMM300
20030000;UniCredit Bank - HypoVereinsbank;24103;Kiel;HYVEDEMM300
